Duration,Ticket_Type,Refund_Policy,Description,LowPrice,HighPrice,Currency,Organizer,EventStatus,StartTime,EndTime,Title,Subtitle,url,City
1 hora,Entrada electrónica móvil,Reembolsos hasta 1 día antes del evento,🌈 ¿ Quieres realizar con tus propias manos una de nuestras burbujas de baño más vendidas? Relájate con los colores y olores hipnóticos de Sleepy 🌈 ¡No dejes pasar ésta maravillosa oportunidad! ¡Reserva tu entrada antes de que se acaben y únete a una experiencia coloridamente divertida!😻,11.09,11.09,EUR,Lush Bilbao,https://schema.org/EventScheduled,2024-03-09T17:00:00Z,2024-03-09T18:00:00Z,Planes y talleres en Lush Bilbao: Crea tu propia burbuja de baño Sleepy,"¿Buscas eventos en Bilbao? ¡Crea tus propias burbujas de baño! Un taller cerca de ti con manualidades para niños, niñas y toda la familia.",https://www.eventbrite.es/e/entradas-planes-y-talleres-en-lush-bilbao-crea-tu-propia-burbuja-de-bano-sleepy-821589013857,bilbao
NA,Sold out,Reembolsos hasta 1 día antes del evento,"¿Quieres vivir una experiencia diferente, divertida y colorida?¡Pues imagina! Nada más llegar nuestro equipo compartirá su experiencia contigo para que elijas tu rutina facial perfecta. Una vez te hayas decidido, te guiaremos paso a paso para aplicar los productos, haciéndolo fácil y divertido para enseñarte en qué consiste una rutina facial y dar un respiro a la piel. ¡Pero eso no es todo! Después, nos sumergiremos en la diversión con un taller en el que podrás hacer tu propia limpiadora facial. Y lo mejor, ¡te la llevarás a casa para seguir disfrutando de esta experiencia maravillosa en la calidez de tu hogar! Pero las sorpresas no se detienen ahí. A continuación podrás elegir uno de nuestos productos exclusivos ""party"" y llevártelo a casa. Estos productos están reservados para aquellas personas que visitan nuestras fiestas. ¡Presume de estos artículos exclusivos que no encontrarás en nuestras tiendas! Este evento es ideal para compartir con amigos, familia o incluso esa primera cita romántica. Imagina disfrutar de un momento de relajación y diversión, ¡todo esto en el corazón de Bilbao! ¿Te animas a ser parte de esta experiencia única?",27.44,27.44,EUR,Lush Bilbao,https://schema.org/EventScheduled,2024-03-09T16:00:00Z,2024-03-09T17:30:00Z,EXCLUSIVO: Beauty Party ¡La fiesta del cuidado facial!,¿Buscas planes en Bilbao? ¿te apasiona el cuidado facial? ¡Pues esta fiesta te va a encantar! ven y disfruta con tus amigos/as,https://www.eventbrite.es/e/entradas-exclusivo-beauty-party-la-fiesta-del-cuidado-facial-821527439687,bilbao
NA,Sold out,Contact the organizer to request a refund.,"Play a thrilling city exploration game and uncover the secrets of the Casco Viejo of Bilbao, the beating heart of the city! On your quest in search of the missing Maestro of the Bilbao Orchestra, you'll wander through historic alleys, step on bridges full of legends, and solve challenges to discover iconic and hidden treasures of Bilbao's Old Town. Are you ready for a mysterious adventure? The route you’re going to follow in the city is sprinkled with unique places, fun clues and challenges, and incredible stories. The experience will play out like you’re the main characters of a movie, only that you’re experiencing everything in first person! Fun dialogue, intrigue, and unexpected interactions are guaranteed. HOW IT WORKS❓ 1. Book your tickets 🎫 2. Download the Questo app - it's free 📲 3. Head to the starting point📍 WHAT YOU’LL DO The game is an interactive activity where you are guided by a mobile app through the city. With it, you follow directions and solve very fun puzzles, riddles, and cryptic codes. During the game, you will also visit popular and hidden places in the city while learning fun (and we mean it) stories about them. This is a storytelling experience just as much. The people doing these city exploration games gave them an average rating of 4.7/5 around the world. Join the playground too! ------------------ More about Questo 🚶‍♀️ Questo is an urban entertainment platform offering thematic real-world exploration games. It is currently available in over 150 cities 🌎 and has entertained hundreds of thousands of players already. As of today, the app offers more than 400 different experiences created by a growing network of local content creators and event organizers.",9.99,39.99,EUR,Questo - City Exploration Games,https://schema.org/EventScheduled,2024-03-09T17:00:00Z,2024-03-09T18:30:00Z,Mysterious Bilbao Outdoor Escape Game: Secrets of Casco Viejo,"Follow clues, solve puzzles, discover new places and learn incredible stories of the city's past and present during this city adventure.",https://www.eventbrite.com/e/mysterious-bilbao-outdoor-escape-game-secrets-of-casco-viejo-tickets-710027089137,bilbao
NA,Sold out,No Refunds,"Awaken your mind and body to a new level and learn how to practice meditation in motion. The purpose of this yoga lineage is to guide you toward cultivating a conscious connection, integration and awakening of the body, mind, heart and spirit. You will learn and practice Patanjali's 8 limbs of yoga: Work primarily with the Amrit posture sequence, gentle vinyasa flows and extended posture holding times. Explore the deepest levels of body, mind and spirit with the integrative practices of clear intention, breath, meditative awareness and conscious integration. Learn to balance your nervous system with the “first half” and “second half” of a posture. To transition from an active state of “doing” a posture, to a relaxed state of “being”. And to feel the effects of a posture. Learn to consciously encounter your ""edge"" of body and mind to release deep tensions and restore the natural flow of the vital life force energy (prana). Good for all levels, from those with some experience to more experienced practitioners. Some experience with yoga and postures is recommended. BIOGRAPHY I have been guiding spiritual seekers for over 30 years with the self-transformative teachings of yoga, meditation, Ayurveda and breathing. It is my pleasure and honor to guide you toward self-empowerment, transformation and awakened consciousness. I will help you connect to your deepest self and inner guide, from the physical to the soul dimension. SOULDIMENSION.ORG Copyright © 2022 • Soul Dimension",16.49,16.49,USD,Soul Dimension,https://schema.org/EventScheduled,2024-03-09T16:00:00Z,2024-03-09T17:30:00Z,Awakening Yoga • Weekly Class • Bilbao,Weekly online class with a spiritual focus to awaken one’s consciousness and highest potential.,https://www.eventbrite.com/e/awakening-yoga-weekly-class-bilbao-tickets-402645412267,bilbao
NA,Sold out,Contact the organizer to request a refund.,"Dinner and a movie are soooo last decade. Instead, you play a city exploration game along the charming ría of Bilbao and fall in love with the city while discovering fun facts of both famous and hidden gems transformed by love.  Solve exciting riddles and puzzles to unlock the most romantic words in Euskera, the oldest living language in Europe, whose origins remain a mystery. Are you ready to travel The Way of Love? Maitemindu! We are inviting you two (or you three - hey, we don’t judge!) to a romantic couples activity that’s part outdoor escape room, part scavenger hunt and part walking tour.  We promise this experience will make you want to kiss and tell <3. We’ve hosted more than 20.000 dates this year. So, we’re pretty sure you will absolutely love it too!  If you don’t, let us know and we’ll live the rest of our lives in shame. So, we’re pretty sure you will absolutely love it too!  But if you don’t, let us know and we’ll live the rest of our lives in shame. WHAT WILL YOU DO❓ - Stroll through the Doña Casilda Park, one of the most romantic parks in Spain, and wander along the ría of Bilbao.
 - Discover the magical artworks outside the Guggenheim Museum, a jewel of art and architecture.
 - Learn 10 words of love in Euskera, the Basque language. You'll be surprised by how lovely their meanings are! HOW DOES IT WORK❓ The entire experience is delivered through a mobile app. 1. Book your tickets 🎫. 2. Get the instructions via email. 3. Download the Questo mobile app (as instructed via email) and head to the starting point on any day that you choose📍. 4﻿. Invite your significant one. FEATURES ✔️ - Available 24/7. - Pause and resume anytime. - Private. -﻿ A bunch of cute & instagrammable places. WHEN CAN YOU TRY THIS EXPERIENCE❓ - date night - anniversary - birthday celebration - holiday date - Valentine’s Day - as a gift for any occasion A﻿GE RECOMMENDATION If you have little ones and want to bring them along with you, feel free to do so, this experience is kid friendly.",9.99,42.58,EUR,Questo - City Exploration Games,https://schema.org/EventScheduled,2024-03-09T17:00:00Z,2024-03-09T18:30:00Z,Romantic Bilbao: Cute Scavenger Hunt for Couples,Surprise your lover with a cute & exciting date while discovering fun facts of both famous and hidden gems along the charming ría of Bilbao!,https://www.eventbrite.com/e/romantic-bilbao-cute-scavenger-hunt-for-couples-tickets-677492487267,bilbao
NA,Sold out,Contact the organizer to request a refund.,"Play a city exploration game along the charming ría of Bilbao! Fall in love with the city while discovering fun facts of both famous and hidden gems transformed by love. Solve exciting riddles and puzzles to unlock the most romantic words in Euskera, the oldest living language in Europe, whose origins remain a mystery. Are you ready to travel The Way of Love? Maitemindu! The route you’re going to follow in the city is sprinkled with charming and picturesque places, fun clues and challenges, and romantic stories. The experience will play out like you’re the main characters of a movie, only that you’re experiencing everything in first person! Fun dialogue, intrigue, and unexpected interactions are guaranteed. Let's play a real-world adventure! HOW IT WORKS❓ 1. Book your tickets 🎫 2. Download the Questo app - it's free 📲 3. Head to the starting point📍 WHAT YOU’LL DO The game is an interactive activity where you are guided by a mobile app through the city. With it, you follow directions and solve very fun puzzles, riddles, and cryptic codes. During the game, you will also visit popular and hidden places in the city while learning fun (and we mean it) stories about them. This is a storytelling experience just as much. The people doing these city exploration games gave them an average rating of 4.7/5 around the world. Join the playground too! ------------------ More about Questo 🚶‍♀️ Questo is an urban entertainment platform offering thematic real-world exploration games. It is currently available in over 130 cities 🌎 and has entertained hundreds of thousands of players already. As of today, the app offers more than 300 different experiences created by a growing network of local content creators and event organizers.",9.99,39.99,EUR,Questo - City Exploration Games,https://schema.org/EventScheduled,2024-03-09T17:00:00Z,2024-03-09T18:30:00Z,Bilbao Outdoor Escape Game: Year of Love,"If you’re looking for a new and exciting way of spending time with your one and only, family or friends, this is your Eureka moment!",https://www.eventbrite.com/e/bilbao-outdoor-escape-game-year-of-love-tickets-653449373667,bilbao
NA,Sold out,Reembolsos hasta 1 día antes del evento,"¿Qué incluye tu experiencia? ¿Eres fan de los baños relajantes y el mar 🌊? ¡Te presentamos el evento más emocionante 🤩 del momento en Lush Santander: el Taller de Bomba de Baño Big Blue   ¿Qué te parecería sumergirte en el mar 🌊​ mientras creas tu propia bomba de baño 🛀? En este evento tan especial ✨, podrás aprender a confeccionar 🙌 una bomba de baño única y llevarla a casa 🏠​ para disfrutar de un baño lleno de color ​​🌈 y aroma👃🏼.  ¡Reserva tu entrada cuanto antes, ya que las plazas son limitadas! 🛀💫",8.91,8.91,EUR,Lush Santander,https://schema.org/EventScheduled,2024-03-09T16:30:00Z,2024-03-09T17:30:00Z,Actividad los fines de semana en Santander: Crea tu bomba de baño,"¿Buscas planes en Santander? ¡Crea tus propias bombas de baño! Un taller cerca de ti con manualidades para niños, niñas y toda la familia.",https://www.eventbrite.es/e/entradas-actividad-los-fines-de-semana-en-santander-crea-tu-bomba-de-bano-842714139677,bilbao
NA,Sold out,Contact the organizer to request a refund.,"This experience will allow you to develop a beautiful relationship with the oldest area of San Sebastián. Through its history and its most important spaces, you will be able to understand why it was almost entirely destroyed and what happened afterwards. The area, filled with buildings built more than a hundred years ago, right alongside newer constructions, seamlessly combines both the modern and the historical. The route you’re going to follow in the city is sprinkled with unique places, fun clues and challenges, and incredible stories of past and present. The experience will play out like you’re the main characters of a movie, only that you’re experiencing everything in first person! Fun dialogue, intrigue, and unexpected interactions are guaranteed. HOW IT WORKS❓ 1. Book your tickets 🎫 2. Download the Questo app - it's free 📲 3. Head to the starting point📍 WHAT YOU’LL DO  The game is an interactive activity where you are guided by a mobile app through the city. With it, you follow directions and solve very fun puzzles, riddles, and cryptic codes. During the game, you will also visit popular and hidden places in the city while learning fun (and we mean it) stories about them. This is a storytelling experience just as much. The people doing these city exploration games gave them an average rating of 4.7/5 around the world. Join the playground too! ------------------ More about Questo 🚶‍♀️ Questo is an urban entertainment platform offering thematic real-world exploration games. It is currently available in over 150 cities 🌎 and has entertained hundreds of thousands of players already. As of today, the app offers more than 400 different experiences created by a growing network of local content creators and event organizers.",9.99,39.99,EUR,Questo - City Exploration Games,https://schema.org/EventScheduled,2024-03-09T17:00:00Z,2024-03-09T18:30:00Z,San Sebastian Old Town: Outdoor Escape Game,"Follow clues, solve puzzles, discover new places and learn incredible stories of the city's past and present during this city adventure.",https://www.eventbrite.com/e/san-sebastian-old-town-outdoor-escape-game-tickets-734118216347,bilbao
NA,Sold out,Contact the organizer to request a refund.,"Play a city exploration game and discover the beautiful downtown area of San Sebastian. Along the way, you'll uncover the history behind the neighborhood's continuing popularity. Explore parks and buildings created over a century ago with both British and French inspiration, giving the city its unique stately style. Wander through the charming and picturesque town, basking in the rich history of its culture and for a moment become part of that special feeling that is San Sebastian. The route you’re going to follow in the city is sprinkled with unique places, fun clues and challenges, and incredible stories. The experience will play out like you’re the main characters of a movie, only that you’re experiencing everything in first person! Fun dialogue, intrigue, and unexpected interactions are guaranteed. HOW IT WORKS❓ 1. Book your tickets 🎫 2. Download the Questo app - it's free 📲 3. Head to the starting point📍 WHAT YOU’LL DO The game is an interactive activity where you are guided by a mobile app through the city. With it, you follow directions and solve very fun puzzles, riddles, and cryptic codes. During the game, you will also visit popular and hidden places in the city while learning fun (and we mean it) stories about them. This is a storytelling experience just as much. The people doing these city exploration games gave them an average rating of 4.7/5 around the world. Join the playground too! ------------------ More about Questo 🚶‍♀️ Questo is an urban entertainment platform offering thematic real-world exploration games. It is currently available in over 150 cities 🌎 and has entertained hundreds of thousands of players already. As of today, the app offers more than 400 different experiences created by a growing network of local content creators and event organizers.",9.99,39.99,EUR,Questo - City Exploration Games,https://schema.org/EventScheduled,2024-03-09T17:00:00Z,2024-03-09T18:30:00Z,San Sebastian Outdoor Escape Game: The Identity Mystery,"Follow clues, solve puzzles, discover new places and learn incredible stories of the city's past and present during this city adventure.",https://www.eventbrite.com/e/san-sebastian-outdoor-escape-game-the-identity-mystery-tickets-655630407197,bilbao
NA,Sold out,No Refunds,"Awaken your mind and body to a new level and learn how to practice meditation in motion. The purpose of this yoga lineage is to guide you toward cultivating a conscious connection, integration and awakening of the body, mind, heart and spirit. You will learn and practice Patanjali's 8 limbs of yoga: Work primarily with the Amrit posture sequence, gentle vinyasa flows and extended posture holding times. Explore the deepest levels of body, mind and spirit with the integrative practices of clear intention, breath, meditative awareness and conscious integration. Learn to balance your nervous system with the “first half” and “second half” of a posture. To transition from an active state of “doing” a posture, to a relaxed state of “being”. And to feel the effects of a posture. Learn to consciously encounter your ""edge"" of body and mind to release deep tensions and restore the natural flow of the vital life force energy (prana). Good for all levels, from those with some experience to more experienced practitioners. Some experience with yoga and postures is recommended. BIOGRAPHY I have been guiding spiritual seekers for over 30 years with the self-transformative teachings of yoga, meditation, Ayurveda and breathing. It is my pleasure and honor to guide you toward self-empowerment, transformation and awakened consciousness. I will help you connect to your deepest self and inner guide, from the physical to the soul dimension. SOULDIMENSION.ORG Copyright © 2022 • Soul Dimension",16.49,16.49,USD,Soul Dimension,https://schema.org/EventScheduled,2024-03-09T16:00:00Z,2024-03-09T17:30:00Z,Awakening Yoga • Weekly Class • San Sebastian,Weekly online class with a spiritual focus to awaken one’s consciousness and highest potential.,https://www.eventbrite.com/e/awakening-yoga-weekly-class-san-sebastian-tickets-402975058247,bilbao
