Duration,Refund_Policy,Description,LowPrice,HighPrice,Currency,Organizer,EventStatus,StartTime,EndTime,Title,Subtitle,url,City,Ticket_Type
3 horas 30 minutos,Comunicate con el organizador para solicitar un reembolso.,"Volem fets i no paraules. El Fòrum Hipàtia en la seva sisena edició tractarà sobre ""La violència econòmica contra les dones"". Dues dones advocades, seran les protagonistes de traslladar-nos les diferents violències o discriminacions que es pot trobar una dona en l'àmbit familiar i laboral.Les dues protagonistes són:- M. Àngels Calavia Molinero. Advocada.- Teresa Blasi Gacho, advocada i sòcia fundadora del Col·lectiu AiDE.",0,0,EUR,Associació 50a50,https://schema.org/EventScheduled,2024-03-13T16:30:00Z,2024-03-13T20:00:00Z,VI Fòrum Hipàtia (2024),"Volem fets i no paraules. El Fòrum Hipàtia en la seva sisena edició tractarà sobre ""La violència econòmica contra les dones"".",https://www.eventbrite.es/e/vi-forum-hipatia-2024-tickets-849318393177,barcelona,NA
2 horas 30 minutos,Contacta con el organizador para solicitar un reembolso.,"Are you eager to learn how to effectively build and manage a sales team? Join us on March 13th at Startup Talks: Build & Manage a sales team of the future, where speakers will delve into the essential strategies for recruiting and empowering sales teams to boost productivity and conversion rates, drawing from their wealth of experience in the field. We are thrilled to welcome the following industry experts: This interactive round table discussion is co-organised by: Following the enlightening discussions, participants will have the opportunity to network with fellow attendees while enjoying a refreshing San Miguel on the amazing terrace of Aticco Bogatell. Don't miss out on this invaluable opportunity to gain insights, forge connections, and elevate your sales team's performance.This event will be in English and in Barcelona. We’re waiting for you!",3,3,EUR,Aticco,https://schema.org/EventScheduled,2024-03-13T17:30:00Z,2024-03-13T20:00:00Z,Startup Talks: Build & Manage a sales team of the future,In this #StartupTalk  we have an exciting fireside chat on Build and Manage a Sales Team of the Future: from Recruiting to Empowerment.,https://www.eventbrite.es/e/entradas-startup-talks-build-manage-a-sales-team-of-the-future-844946296117,barcelona,NA
NA,Contact the organizer to request a refund.,"📍C/ de Santander 31, 08020 BARCELONA 'El objetivo de la clase es explorar las diferentes formas en que el cuerpo se relaciona con el espacio y consigo mismo, trazando caminos, estableciendo direcciones y utilizando eficazmente las conexiones biomecánicas. Se explorará cómo el cuerpo puede sorprenderse a sí mismo con sus límites, adaptarse a diversos tipos de iniciaciones y crear una fisicalidad dentro de un juego de fluidez sensible y energía explosiva.' 'En esta clase trabajamos para despertar nuestra sensibilidad y capacidad lúdica a través del movimiento, los juegos y la improvisación. Trabajamos la fisicalidad y la teatralidad. Exploramos la ligereza y la pesadez.' 'Una exploración del espacio y de las personas que lo comparten. Nos centraremos en la comunicación, la confianza y la coordinación entre compañeros. Aprenderemos varios lifts, agarres y movimientos que requieren un esfuerzo sincronizado. Exploraremos la idea de ""caer"" en el espacio y cómo ceder nuestro peso a otra persona cuando estamos ""desequilibrados"".' 'El taller se propone como un espacio de exploración y entrenamiento en torno al lenguaje de las danzas africanas tradicionales y contemporáneas. El amplio repertorio y gestualidad de estas expresiones hacen referencia a diversos territorios, pueblos y festividades que se estudiarán en los distintos encuentros: danzas tradicionales del Oeste africano, danzas afrolatinoamericanas, técnicas afro-contemporáneas y parte del vocabulario de las danzas urbanas. El taller contará con músicos en directo una vez al mes.' . Si deseas comprar un bono de 10 clases (95€) o un bono de 5 clases (55€), por favor contáctanos al mail siguiente : communication@freezone-bcn.com . . . 📍C/ de Santander 31, 08020 BARCELONA 'The class aims to explore the different ways on how the body relates to space and to itself - carving pathways, anchoring directions, and efficiently utilizing biomechanical connections. It will explore how the body can surprise itself with its limits, adapt to various types of initiations, and create a physicality within a play of sensitive fluidity and explosive energy.' 'In this training we work on waking up our sensitivity and playfulness through movement, games and improvisation. We go through physicality and theatricality. We explore lightness and heaviness.' 'An exploration of space and the people who share it. We will focus on communication, trust and coordination between partners. We will learn various lifts, holds and movements that require synchronised effort. We will explore the idea of ""falling"" into space and how to give our weight to another person when we are ""out of balance"".' 'The class is proposed as a space for exploration and training around the language of traditional and contemporary African dances. The wide repertoire and gestuality of these expressions refer to different territories, peoples and festivities that will be studied in the different meetings: traditional West African dances, Afro-Latin American dances, Afro-contemporary techniques and part of the vocabulary of urban dances. The class will have live musicians once a month.' . If you wish to buy a 10-class package (95€) o a 5-class package (55€), please contact us at the following email : communication@freezone-bcn.com",15,15,EUR,"FREEZONE Home for Creation, Movement & Performance",https://schema.org/EventScheduled,2024-03-13T16:00:00Z,2024-03-13T18:00:00Z,AfterNOON dance classes,"Come train with us in FREEZONE in our new AfterNOON Classes: contemporary dance, dance theater, partnering, and African dances!",https://www.eventbrite.es/e/afternoon-dance-classes-tickets-816944622357,barcelona,Sold out
3 hours,Refunds up to 7 days before event,"The quiz is in MICHAEL COLLINS pub Join us for 50+ questions on 6 different topics, from music to movies, geography to sports, arts to food and many more. Join as a team (max. 6 people) and we'll book you a table. Or come on your own and meet other local quizzers! +++ 🍾🏵️🍺 Prize drinks +++ Have you ever watched ""Who Wants to Be a Millionaire"" and thought ""I can do that..""? Now is your chance to do it with friends and some beer! All are welcome. - ----------------------------------------------------------- El quiz está en MICHAEL COLLINS pub Ven a probar qué tan listo eres! 50+ preguntas de 6 diferentes áreas - música, cine, geografía, deportes, artes y más. Uníos como un equipo (max 6 personas) y os reservaremos una mesa. O ven solo y conoce a otros concursantes. +++ 🍾🏵️🍺 Hay premios! +++ Si alguna vez has visto ""Quién Quiere Ser Millonario?"" y pensado que lo puedes hacer también, ahora llegó tu momento!",4.67,5.77,EUR,Quiziera,https://schema.org/EventScheduled,2024-03-13T18:30:00Z,2024-03-13T21:30:00Z,Pub Quiz Barcelona - March 13,"Show your smarts, have fun and win cool prizes! Coming on WEDNESDAY March 13th.",https://www.eventbrite.es/e/pub-quiz-barcelona-march-13-tickets-853455728057,barcelona,NA
NA,Contact the organizer to request a refund.,NA,121.1,121.1,EUR,Cozymeal,https://schema.org/EventScheduled,2024-03-13T08:30:00Z,2024-03-13T11:30:00Z,Iconic Fare and Libations in Barcelona - Food Tours by Cozymeal™,"Learn all about Barcelona's incredible culture while enjoying the city's favorite fare with Cozymeal! Join the upcoming food tour, “Iconic Fare and Libations in Barcelona”, with Guide Jorge or Local Guide for a fun 3-hour experience with 7 tastings along the way.Cozymeal offers a variety of culinary experiences, including cooking classes, team building activities, food tours and private chef services. We’ll give you a unique, unforgettable experience hosted by incredible chefs and guides in over 70 cities across the U.S. and Canada. Book a culinary experience with Cozymeal and let theus take care of the rest.For additional information and dates visit Iconic Fare and Libations in Barcelona",https://www.eventbrite.com/e/iconic-fare-and-libations-in-barcelona-food-tours-by-cozymealtm-tickets-801819974127,barcelona,Sold out
NA,Contact the organizer to request a refund.,NA,98.92,98.92,EUR,Cozymeal,https://schema.org/EventScheduled,2024-03-13T08:30:00Z,2024-03-13T11:30:00Z,The Authentic Flavors of Barcelona - Food Tours by Cozymeal™,"Learn all about Barcelona's incredible culture while enjoying the city's favorite fare with Cozymeal! Join the upcoming food tour, “The Authentic Flavors of Barcelona”, with Guide Jorge or Local Guide for a fun 3-hour experience with 7 tastings along the way.Cozymeal offers a variety of culinary experiences, including cooking classes, team building activities, food tours and private chef services. We’ll give you a unique, unforgettable experience hosted by incredible chefs and guides in over 70 cities across the U.S. and Canada. Book a culinary experience with Cozymeal and let theus take care of the rest.For additional information and dates visit The Authentic Flavors of Barcelona",https://www.eventbrite.com/e/the-authentic-flavors-of-barcelona-food-tours-by-cozymealtm-tickets-801873554387,barcelona,Sold out
NA,Contacta con el organizador para solicitar un reembolso.,"Despierta tu creatividad y tus sentidos mientras transformamos prendas olvidadas en el fondo de tu armario en piezas únicas. Acompaña cada paso con un fluir constante de vino ilimitado, fusionando la moda sostenible y la creatividad de una manera inigualable. Únete a nosotros para vivir la moda de una manera única y conviértete en un eco-fashionista! Que incluye? Trae tu prenda y disfruta creando una prenda única. Eco.Fashion & Wine - Sustainable Fashion Concept Dale una segunda vida a tu ropa y conviértela en una verdadera obra de arte. RESERVA TU TALLER UPCYCLING Y DIVIÉRTETE Awaken your creativity and senses as we transform forgotten garments from the back of your wardrobe into unique pieces. Enjoy the experience with a non-limiting glass of wine. We combine sustainable fashion and creativity uniquely. Join us to experience art and fashion uniquely and become a eco-fashionista. Are you ready? Eco.Fashion & Wine - Sustainable Fashion Concept After everything you’ve been through together, don’t you think your clothes deserve a second life? What includes? Book your workshop and have fun!",32,32,EUR,Ecofashion & Wine. Upcycling Workshop,https://schema.org/EventScheduled,2024-03-13T17:30:00Z,2024-03-13T19:00:00Z,Taller creativo (Upcycling Workshop & Wine/Diviértete transformando tu ropa,Dale una segunda vida a tu ropa y conviértela en una  obra de arte. Despierta el artista que llevas dentro. Join us & have fun!,https://www.eventbrite.es/e/registro-taller-creativo-upcycling-workshop-winediviertete-transformando-tu-ropa-858109036227,barcelona,Sold out
NA,Contacta con el organizador para solicitar un reembolso.,"CONTEMPORARY CLASS with Nico Ricchini Drop-in class: 18€ 10 Classes pack: 60€ (book via nicolasricchini@gmail.com) Join us for an exciting in-person contemporary class class with Nico Ricchini. Get ready to sweat and move in the heart of Barcelona, Spain. Date: Every Thursday Time: 19:00 - 20:30 Location: Carrer de Santander, 31, 08020 Barcelona, Spain Whether you're a beginner or an experienced dancer, this class is suitable for all levels. Nico Ricchini will guide you through the energetic moves and techniques that make contemporary dance so captivating. Don't miss this opportunity to learn from one of the best in the industry while enjoying the vibrant atmosphere of Barcelona.",20.19,20.19,EUR,Nico Ricchini,https://schema.org/EventScheduled,2024-03-13T18:00:00Z,2024-03-13T19:30:00Z,CONTEMPORARY CLASS with Nico Ricchini,Get ready to move and sweat with the Nico Ricchini in this in-person class – it's gonna be lit!,https://www.eventbrite.es/e/entradas-contemporary-class-with-nico-ricchini-813983174587,barcelona,Sold out
NA,No Refunds,"In this online class, I will be discussing the differences, similarities, advantages, and limitations of different school of thoughts such as lean startup, design thinking, and agile deployment. We will look at these closely from business/startups' point of view with a special inclination towards how tech startups flop or succeed.  I will dive deeper into these methodologies with relevant case studies. Key Takeaways: ✔️Unlimited Access to the Recording  ✔️Exclusive Hands-out materials via newsletters ✔️Certificate of completion upon request* Who is this for?  INSTAGRAM: @mindshopschool  Who am I? In one word: Polymath. I help ambitious careerists and entrepreneurs in building their arsenal towards creative problem solving, authentic product design and development. My masterclasses are highly interactive and personalized. I look forward to having you onboard! Industrial Experience: Academic Background: #KeepHustling! LinkedIn: https://www.linkedin.com/in/katanai/ ----------------------------------------------------------- How can I contact the organizer with any questions? kat@medverselab.com",59.4,82.44,USD,"Kat Usop, MSHI",https://schema.org/EventScheduled,2024-03-13T18:00:00Z,2024-03-13T21:00:00Z,Startups: Understand Lean Startup vs. Design Thinking vs. Agile,"In this MINDSHOP™, get skilled up for a versatile, innovative startup ecosystem!",https://www.eventbrite.com/e/startups-understand-lean-startup-vs-design-thinking-vs-agile-tickets-662688849187,barcelona,Sold out
NA,Contact the organizer to request a refund.,"More often than we want to admit, as Startups,  we either over-engineer or under-engineer a product and discover it's a little too late to deploy it to the early adopters who have the final say of whether it is a viable, desirable or feasible to use your product for their specific needs. In this mini online class, we will discuss the pragmatics of actually deploying a viable product to your early adopters so to validate your market share. Let's talk experience! 1. What is Minimum Viable Thinking (MVT)? 2. How to transmit MVT output to deploying Minimum Viable Products? (Techniques and Strategies) 3. Foundations of a foolproof Minimum Viable Product Roadmapping What you will receive: ✔ 1.5 – 2.00 hours of an instructor-led pre-recorded class ✔ Personalized Q&A discussion ✔ Certificate of Completion  ✔ Recording and Hand out materials for later viewing (If you can't make it, no worries. You will receive this post-class) Who should attend? Why Me? I help ambitious careerists and entrepreneurs in building their arsenal towards creative problem solving, authentic product design and development. My masterclasses are highly interactive and personalized. I look forward to having you onboard!   Industrial Experience: Lab Manager (R&D) at Duke University – Pratt School of Engineering Former Adjunct University Lecturer at ENSET Biomedical Engineering School at the age of 23. ""How to Gamify a Virtual Surgical Workspace"" Talk at (VRVoice2018) Harvard Medical School Co-Founder of TechVerse Coworking Space & Incubator, Rabat City, Morocco – the first tech-oriented coworking space in the kingdom. est. 2016 HIT | Design Thinking Consultant at Medverselab est. 2016 Chief Software Architect of Sutures App – Gamified Gastro-intestinal e-Surgery Simulator (Check it out! ) est. 2016 Chief Design Thinker / Information Architect at Sinclair School of Nursing – HEAR App est. 2017 Research Fellow at the University of Missouri’s Center for Biomedical Informatics - focus on Mobile Based & Gamified Precision Medicine est. 2018 Design Thinker (mHealth) for Precision Medicine    Academic Background:  Peer Reviewer at IEEE Journal of Biomedical & Health Informatics (JBHI) Peer Reviewer at Journal for Medical Internet Research (JMIR) Public Speaker: USA, Hong Kong, Malaysia, Morocco, Philippines (+30 talks)  Author of ""Gamified Psychosphere""  - available on Google books/amazon kindle @ 2019 Holder of Engineering Diploma in Manufacturing Engineering and Management with Specialization in Biomedical Engineering  Advanced Degree (MS) in Health Informatics – Translational Personalized Medicine Apps #KeepHustling! Linkedin:  https://www.linkedin.com/in/katanai/ Website: katusop.com Twitter: @itskatusop",77.77,77.77,USD,"Kat Usop, MSHI",https://schema.org/EventScheduled,2024-03-13T18:00:00Z,2024-03-13T21:00:00Z,Startups: Develop Innovative Product with Minimum Viable Thinking,"“Good companies manage Engineering. Great companies manage Product.”
– Thomas Schranz, Founder and CEO of Blossom",https://www.eventbrite.com/e/startups-develop-innovative-product-with-minimum-viable-thinking-tickets-657090885527,barcelona,Sold out
NA,Contacta con el organizador para solicitar un reembolso.,"Laboratorio de Creación Cuerpo y Arte ¡Hola a todos! Estamos emocionados de invitarlos al Laboratorio de Creación Cuerpo y Arte, un Curso único y enriquecedor que se llevará a cabo cada miercoles. Fecha y hora:  Todos los Miércoles a partir de las 18:30 (GMT+1) Ubicación: Estudio Agape, 74 Carrer de Pallars, Sótano 2, 08018 Barcelona Precios: A partir de 25 euros la sesion. Al mes son 90 euros. Este laboratorio es el lugar perfecto para explorar y experimentar con el cuerpo y el arte de una manera creativa y divertida. Si te apasiona el arte y te gustaría descubrir nuevas formas de expresión corporal, ¡este evento es para ti!En el Laboratorio de Creación Cuerpo y Arte, podrás participar en talleres prácticos y dinámicos impartidos por expertos en el campo. Aprenderás técnicas innovadoras y desarrollarás habilidades artísticas únicas de teatro gestalt mientras te sumerges en un ambiente inspirador. No importa si eres un principiante o un artista experimentado, todos son bienvenidos a unirse a esta experiencia única. Conocerás a personas apasionadas por el arte y tendrás la oportunidad de compartir ideas y colaborar en proyectos emocionantes.No te pierdas esta oportunidad de expandir tus horizontes artísticos y descubrir nuevas formas de expresión. ¡Inscríbete ahora y únete a nosotros en el Laboratorio de Creación Cuerpo y Arte!",22.41,22.41,EUR,Agape Cuerpo y Arte,https://schema.org/EventScheduled,2024-03-13T17:30:00Z,2024-03-13T20:30:00Z,Laboratorio de Creacion Cuerpo y Arte,"¡Ven y descubre el increíble mundo del Teatro Gestalt en nuestro Laboratorio de Creación, Todos los miércoles a las 18:30!",https://www.eventbrite.com/e/entradas-laboratorio-de-creacion-cuerpo-y-arte-749793371157,barcelona,Sold out
